temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
30	1.8399999999999999	0.184	0.3331705729166667	2.7998084947203075	0.3675110340118408	1.346435546875	0.6967	0.3635294270833333	0.6144	0.28122942708333326	0.5316	0.19842942708333328	0.4568	0.1236294270833333	0.401	0.06782942708333334	0.3165	-0.01667057291666668	0.2662	-0.06697057291666669	0.2143	-0.1188705729166667	0.1634	-0.1697705729166667	0.1234	-0.20977057291666668	0.0747	-0.2584705729166667	0.0392	-0.2939705729166667
31	1.77	0.177	0.3331705729166667	2.6410127418471143	0.3934204578399658	1.4958243370056152	0.7406	0.40742942708333335	0.6373	0.3041294270833333	0.5458	0.21262942708333327	0.4628	0.1296294270833333	0.4008	0.0676294270833333	0.3188	-0.014370572916666713	0.2603	-0.07287057291666671	0.2039	-0.1292705729166667	0.1567	-0.17647057291666668	0.1083	-0.22487057291666668	0.0577	-0.27547057291666666	0.0245	-0.30867057291666666
32	1.7000000000000002	0.17	0.3331705729166667	2.567715550726126	0.3946816921234131	1.5235133171081543	0.7486	0.41542942708333336	0.627	0.2938294270833333	0.5424	0.2092294270833333	0.4677	0.13452942708333332	0.3964	0.06322942708333329	0.3214	-0.011770572916666666	0.2629	-0.07027057291666666	0.2039	-0.1292705729166667	0.1498	-0.1833705729166667	0.1053	-0.22787057291666668	0.0632	-0.2699705729166667	0.0228	-0.3103705729166667
33	1.6300000000000001	0.163	0.3331705729166667	2.603206549485135	0.40192246437072754	1.5717453956604004	0.7614	0.4282294270833333	0.6515	0.3183294270833333	0.5545	0.2213294270833333	0.4728	0.1396294270833333	0.3957	0.06252942708333331	0.3246	-0.008570572916666686	0.2631	-0.07007057291666668	0.2091	-0.12407057291666668	0.152	-0.1811705729166667	0.106	-0.2271705729166667	0.0609	-0.2722705729166667	0.0204	-0.31277057291666666
34	1.56	0.156	0.3331705729166667	2.5748885100235417	0.4134693145751953	1.645948886871338	0.7677	0.43452942708333336	0.6611	0.32792942708333334	0.5583	0.22512942708333333	0.4821	0.1489294270833333	0.3819	0.04872942708333333	0.3274	-0.005770572916666661	0.2604	-0.07277057291666666	0.2015	-0.13167057291666667	0.1436	-0.18957057291666668	0.0962	-0.23697057291666668	0.0523	-0.28087057291666667	0.0119	-0.32127057291666666
35	1.49	0.149	0.3331705729166667	2.525352525254975	0.42487025260925293	1.7611184120178223	0.7968	0.46362942708333327	0.6791	0.34592942708333335	0.5716	0.2384294270833333	0.4737	0.14052942708333332	0.3956	0.06242942708333332	0.33	-0.0031705729166666696	0.2569	-0.07627057291666667	0.1911	-0.1420705729166667	0.1476	-0.18557057291666668	0.0936	-0.23957057291666667	0.0506	-0.2825705729166667	0.0112	-0.3219705729166667
36	1.42	0.142	0.3331705729166667	2.468744924298816	0.42689967155456543	1.78184175491333	0.8029	0.46972942708333326	0.6769	0.34372942708333326	0.569	0.23582942708333327	0.4718	0.1386294270833333	0.3942	0.06102942708333331	0.3288	-0.004370572916666704	0.2595	-0.07367057291666668	0.1948	-0.13837057291666668	0.1438	-0.18937057291666667	0.0934	-0.2397705729166667	0.0477	-0.28547057291666667	0.0083	-0.3248705729166667
37	1.35	0.135	0.3331705729166667	2.4964284366712683	0.43622636795043945	1.8364973068237305	0.8089	0.47572942708333327	0.6847	0.3515294270833333	0.5718	0.2386294270833333	0.474	0.1408294270833333	0.4002	0.06702942708333332	0.3109	-0.022270572916666675	0.2546	-0.07857057291666669	0.1909	-0.1422705729166667	0.1403	-0.19287057291666668	0.0913	-0.2418705729166667	0.0482	-0.28497057291666666	0.0026	-0.3305705729166667
38	1.28	0.128	0.3331705729166667	2.5303851552184096	0.4364807605743408	1.8717927932739258	0.8093	0.47612942708333333	0.6803	0.34712942708333333	0.5796	0.24642942708333332	0.4827	0.14952942708333333	0.3939	0.06072942708333329	0.3194	-0.013770572916666668	0.2613	-0.07187057291666671	0.1937	-0.13947057291666667	0.1365	-0.19667057291666667	0.0913	-0.2418705729166667	0.0444	-0.2887705729166667	0.0048	-0.32837057291666666
39	1.21	0.121	0.3331705729166667	2.4310001967137564	0.43579626083374023	1.8745355606079102	0.8201	0.48692942708333337	0.6951	0.36192942708333337	0.5684	0.23522942708333333	0.4778	0.14462942708333332	0.3927	0.05952942708333331	0.33	-0.0031705729166666696	0.2568	-0.07637057291666671	0.1959	-0.1372705729166667	0.1375	-0.19567057291666667	0.0941	-0.23907057291666667	0.0432	-0.28997057291666667	0.0044	-0.32877057291666667
