temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
10	2.64	0.22	0.007751937984496124	nan	0.0009046494960784912	0.11579513549804688	0.0099	0.002148062015503877	0.0087	0.0009480620155038755	0.0072	-0.0005519379844961241	0.0078	4.806201550387572e-05	0.0068	-0.0009519379844961243	0.0089	0.001148062015503876	0.009	0.0012480620155038754	0.008	0.00024806201550387624	0.0083	0.0005480620155038762	0.0063	-0.0014519379844961239	0.0082	0.00044806201550387677	0.0077	-5.1937984496123676e-05	0.0065	-0.0012519379844961242	0.0094	0.0016480620155038764
11	2.58	0.215	0.007751937984496124	nan	0.0009374618530273438	0.1199951171875	0.0125	0.004748062015503877	0.0079	0.00014806201550387685	0.007	-0.0007519379844961238	0.0073	-0.00045193798449612386	0.0072	-0.0005519379844961241	0.0077	-5.1937984496123676e-05	0.0094	0.0016480620155038764	0.0084	0.0006480620155038756	0.0081	0.00034806201550387564	0.0091	0.0013480620155038765	0.0088	0.0010480620155038766	0.0083	0.0005480620155038762	0.0077	-5.1937984496123676e-05	0.0057	-0.0020519379844961237
12	2.52	0.21	0.007751937984496124	nan	0.0008517801761627197	0.10902786254882812	0.0096	0.0018480620155038752	0.0085	0.0007480620155038767	0.0076	-0.00015193798449612394	0.0073	-0.00045193798449612386	0.0085	0.0007480620155038767	0.0085	0.0007480620155038767	0.0088	0.0010480620155038766	0.0066	-0.001151937984496124	0.0089	0.001148062015503876	0.0094	0.0016480620155038764	0.0074	-0.0003519379844961236	0.01	0.0022480620155038763	0.0062	-0.0015519379844961241	0.0055	-0.0022519379844961242
13	2.46	0.205	0.007751937984496124	nan	0.0009600520133972168	0.12288665771484375	0.0106	0.002848062015503876	0.0073	-0.00045193798449612386	0.0083	0.0005480620155038762	0.0064	-0.0013519379844961236	0.007	-0.0007519379844961238	0.0075	-0.0002519379844961242	0.0095	0.0017480620155038758	0.007	-0.0007519379844961238	0.0077	-5.1937984496123676e-05	0.0083	0.0005480620155038762	0.0071	-0.0006519379844961235	0.006	-0.0017519379844961238	0.0089	0.001148062015503876	0.0084	0.0006480620155038756
14	2.4000000000000004	0.20000000000000004	0.007751937984496124	nan	0.0008755028247833252	0.11206436157226562	0.0121	0.004348062015503876	0.0068	-0.0009519379844961243	0.0074	-0.0003519379844961236	0.0082	0.00044806201550387677	0.0086	0.0008480620155038761	0.0072	-0.0005519379844961241	0.0088	0.0010480620155038766	0.0096	0.0018480620155038752	0.0074	-0.0003519379844961236	0.0074	-0.0003519379844961236	0.0095	0.0017480620155038758	0.007	-0.0007519379844961238	0.0066	-0.001151937984496124	0.0075	-0.0002519379844961242
15	2.34	0.19499999999999998	0.007751937984496124	nan	0.0008902251720428467	0.11394882202148438	0.0125	0.004748062015503877	0.0087	0.0009480620155038755	0.0073	-0.00045193798449612386	0.0077	-5.1937984496123676e-05	0.0076	-0.00015193798449612394	0.007	-0.0007519379844961238	0.008	0.00024806201550387624	0.0061	-0.0016519379844961235	0.0078	4.806201550387572e-05	0.0062	-0.0015519379844961241	0.0077	-5.1937984496123676e-05	0.0092	0.001448062015503876	0.0086	0.0008480620155038761	0.0063	-0.0014519379844961239
16	2.2800000000000002	0.19000000000000003	0.007751937984496124	nan	0.0009328722953796387	0.11940765380859375	0.0131	0.005348062015503877	0.0071	-0.0006519379844961235	0.0076	-0.00015193798449612394	0.0068	-0.0009519379844961243	0.0079	0.00014806201550387685	0.0072	-0.0005519379844961241	0.0072	-0.0005519379844961241	0.0075	-0.0002519379844961242	0.0086	0.0008480620155038761	0.0084	0.0006480620155038756	0.0073	-0.00045193798449612386	0.0085	0.0007480620155038767	0.0068	-0.0009519379844961243	0.0067	-0.0010519379844961237
17	2.2199999999999998	0.18499999999999997	0.007751937984496124	nan	0.0009582638740539551	0.12265777587890625	0.0106	0.002848062015503876	0.0066	-0.001151937984496124	0.0067	-0.0010519379844961237	0.0074	-0.0003519379844961236	0.0078	4.806201550387572e-05	0.007	-0.0007519379844961238	0.0082	0.00044806201550387677	0.0081	0.00034806201550387564	0.0077	-5.1937984496123676e-05	0.0059	-0.001851937984496124	0.0067	-0.0010519379844961237	0.0072	-0.0005519379844961241	0.0088	0.0010480620155038766	0.0075	-0.0002519379844961242
18	2.16	0.18000000000000002	0.007751937984496124	nan	0.0009596347808837891	0.122833251953125	0.0134	0.0056480620155038765	0.0082	0.00044806201550387677	0.0082	0.00044806201550387677	0.007	-0.0007519379844961238	0.0078	4.806201550387572e-05	0.0091	0.0013480620155038765	0.0084	0.0006480620155038756	0.0059	-0.001851937984496124	0.0075	-0.0002519379844961242	0.0089	0.001148062015503876	0.0065	-0.0012519379844961242	0.0089	0.001148062015503876	0.0066	-0.001151937984496124	0.0053	-0.002451937984496124
19	2.0999999999999996	0.17499999999999996	0.007751937984496124	nan	0.0008860528469085693	0.11341476440429688	0.0121	0.004348062015503876	0.0082	0.00044806201550387677	0.0071	-0.0006519379844961235	0.0076	-0.00015193798449612394	0.0078	4.806201550387572e-05	0.0105	0.0027480620155038767	0.0078	4.806201550387572e-05	0.0085	0.0007480620155038767	0.009	0.0012480620155038754	0.0079	0.00014806201550387685	0.0093	0.0015480620155038753	0.0071	-0.0006519379844961235	0.0069	-0.000851937984496124	0.0073	-0.00045193798449612386
