temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
16	1.52	0.19	0.030303030303030304	nan	0.011260986328125	0.3603515625	0.0547	0.024396969696969695	0.0301	-0.0002030303030303056	0.0319	0.001596969696969694	0.0273	-0.0030030303030303025	0.0288	-0.0015030303030303047	0.0284	-0.0019030303030303022	0.0305	0.00019696969696969546	0.0291	-0.001203030303030303	0.0288	-0.0015030303030303047	0.0252	-0.005103030303030304
17	1.48	0.185	0.030303030303030304	nan	0.012939453125	0.4140625	0.0586	0.028296969696969695	0.0304	9.696969696969607e-05	0.03	-0.000303030303030305	0.0316	0.0012969696969696992	0.0346	0.004296969696969695	0.0284	-0.0019030303030303022	0.0289	-0.0014030303030303053	0.0265	-0.0038030303030303046	0.0284	-0.0019030303030303022	0.021	-0.009303030303030303
18	1.44	0.18	0.030303030303030304	nan	0.0135498046875	0.43359375	0.0556	0.025296969696969693	0.0311	0.0007969696969696953	0.0298	-0.0005030303030303038	0.0299	-0.0004030303030303044	0.0319	0.001596969696969694	0.0302	-0.00010303030303030272	0.0268	-0.003503030303030303	0.0293	-0.0010030303030303042	0.0299	-0.0004030303030303044	0.0401	0.009796969696969693
19	1.4	0.175	0.030303030303030304	nan	0.0113067626953125	0.36181640625	0.0551	0.0247969696969697	0.0298	-0.0005030303030303038	0.0303	-3.0303030303033274e-06	0.029	-0.0013030303030303024	0.028	-0.0023030303030303033	0.0306	0.00029696969696969486	0.0333	0.0029969696969696993	0.0294	-0.0009030303030303048	0.0273	-0.0030030303030303025	0.0377	0.0073969696969696935
20	1.36	0.17	0.030303030303030304	nan	0.01149749755859375	0.367919921875	0.0589	0.028596969696969697	0.0335	0.003196969696969698	0.0328	0.002496969696969699	0.0267	-0.0036030303030303024	0.03	-0.000303030303030305	0.031	0.0006969696969696959	0.0305	0.00019696969696969546	0.0324	0.0020969696969696944	0.0284	-0.0019030303030303022	0.0323	0.0019969696969696984
21	1.32	0.165	0.030303030303030304	nan	0.0111236572265625	0.35595703125	0.0575	0.0271969696969697	0.0314	0.0010969696969696935	0.0308	0.0004969696969696971	0.0287	-0.001603030303030304	0.0301	-0.0002030303030303056	0.0322	0.0018969696969696956	0.0314	0.0010969696969696935	0.0333	0.0029969696969696993	0.0316	0.0012969696969696992	0.0365	0.006196969696969694
22	1.28	0.16	0.030303030303030304	nan	0.01263427734375	0.404296875	0.0616	0.0312969696969697	0.0315	0.0011969696969696964	0.0298	-0.0005030303030303038	0.0295	-0.0008030303030303054	0.0301	-0.0002030303030303056	0.0291	-0.001203030303030303	0.0321	0.0017969696969696927	0.0325	0.0021969696969696972	0.0269	-0.0034030303030303036	0.0428	0.012496969696969694
23	1.24	0.155	0.030303030303030304	nan	0.01364898681640625	0.436767578125	0.0578	0.027496969696969693	0.0346	0.004296969696969695	0.0297	-0.0006030303030303032	0.0326	0.002296969696969693	0.0308	0.0004969696969696971	0.0306	0.00029696969696969486	0.0307	0.0003969696969696977	0.0299	-0.0004030303030303044	0.0264	-0.003903030303030304	0.0236	-0.006703030303030304
24	1.2	0.15	0.030303030303030304	nan	0.013458251953125	0.4306640625	0.0663	0.035996969696969694	0.0331	0.0027969696969696936	0.0245	-0.005803030303030303	0.0342	0.0038969696969696974	0.0279	-0.0024030303030303027	0.0297	-0.0006030303030303032	0.0302	-0.00010303030303030272	0.027	-0.003303030303030304	0.0338	0.003496969696969693	0.0328	0.002496969696969699
25	1.16	0.145	0.030303030303030304	nan	0.01219940185546875	0.390380859375	0.0643	0.03399696969696969	0.0307	0.0003969696969696977	0.0313	0.0009969696969696976	0.032	0.0016969696969696968	0.0293	-0.0010030303030303042	0.0315	0.0011969696969696964	0.0306	0.00029696969696969486	0.0285	-0.0018030303030303028	0.0285	-0.0018030303030303028	0.0279	-0.0024030303030303027
