temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
30	1.2	0.12	0.015384615384615385	nan	0.0038309097290039062	0.24517822265625	0.0348	0.019415384615384612	0.0194	0.004015384615384615	0.0152	-0.0001846153846153855	0.0155	0.00011538461538461442	0.016	0.0006153846153846149	0.0158	0.0004153846153846161	0.0154	1.5384615384615025e-05	0.0162	0.0008153846153846137	0.0138	-0.0015846153846153857	0.0158	0.0004153846153846161	0.0152	-0.0001846153846153855	0.013	-0.002384615384615386
31	1.1500000000000001	0.11500000000000002	0.015384615384615385	nan	0.0036458969116210938	0.23333740234375	0.033	0.017615384615384616	0.0155	0.00011538461538461442	0.0148	-0.0005846153846153848	0.0149	-0.0004846153846153854	0.0176	0.0022153846153846156	0.0138	-0.0015846153846153857	0.0149	-0.0004846153846153854	0.016	0.0006153846153846149	0.0168	0.0014153846153846135	0.0159	0.0005153846153846155	0.012	-0.0033846153846153852	0.0132	-0.0021846153846153855
32	1.1	0.11000000000000001	0.015384615384615385	nan	0.0036954879760742188	0.23651123046875	0.0349	0.019515384615384615	0.0177	0.002315384615384615	0.0171	0.0017153846153846151	0.0151	-0.0002846153846153849	0.0162	0.0008153846153846137	0.0161	0.0007153846153846143	0.0159	0.0005153846153846155	0.0157	0.0003153846153846132	0.0154	1.5384615384615025e-05	0.0159	0.0005153846153846155	0.0165	0.0011153846153846153	0.0183	0.002915384615384615
33	1.05	0.10500000000000001	0.015384615384615385	nan	0.003459453582763672	0.221405029296875	0.0378	0.022415384615384615	0.0153	-8.46153846153861e-05	0.0145	-0.0008846153846153847	0.0148	-0.0005846153846153848	0.0145	-0.0008846153846153847	0.0141	-0.0012846153846153858	0.0147	-0.0006846153846153859	0.0131	-0.002284615384615385	0.0153	-8.46153846153861e-05	0.0167	0.001315384615384614	0.0133	-0.002084615384615386	0.0174	0.0020153846153846133
34	1.0	0.1	0.015384615384615385	0.9969841994755141	0.02720355987548828	1.74102783203125	0.1665	0.15111538461538462	0.0705	0.05511538461538461	0.0361	0.020715384615384615	0.0173	0.001915384615384614	0.0125	-0.0028846153846153848	0.0102	-0.005184615384615385	0.0104	-0.004984615384615386	0.0125	-0.0028846153846153848	0.0116	-0.0037846153846153863	0.0121	-0.003284615384615386	0.01	-0.005384615384615385	0.0098	-0.005584615384615386
35	0.95	0.095	0.015384615384615385	1.1810665967251275	0.08566474914550781	5.4825439453125	0.4513	0.4359153846153846	0.2046	0.18921538461538462	0.0852	0.06981538461538461	0.0281	0.012715384615384615	0.0101	-0.005284615384615386	0.0019	-0.013484615384615385	0.0016	-0.013784615384615385	0.0009	-0.014484615384615386	0.0017	-0.013684615384615385	0.0015	-0.013884615384615386	0.0021	-0.013284615384615386	0.0025	-0.012884615384615385
36	0.8999999999999999	0.09	0.015384615384615385	1.2294629707528293	0.0899348258972168	5.755828857421875	0.4724	0.4570153846153846	0.2145	0.1991153846153846	0.0916	0.07621538461538462	0.0269	0.011515384615384615	0.0063	-0.009084615384615385	0.0017	-0.013684615384615385	0.0005	-0.014884615384615385	0.0006	-0.014784615384615386	0.0012	-0.014184615384615386	0.0003	-0.015084615384615386	0.0003	-0.015084615384615386	0.0	-0.015384615384615385
37	0.8999999999999999	0.09	0.015384615384615385	1.2419461504981817	0.0907750129699707	5.809600830078125	0.478	0.4626153846153846	0.2123	0.1969153846153846	0.0986	0.08321538461538461	0.0291	0.013715384615384615	0.0074	-0.007984615384615385	0.0018	-0.013584615384615386	0.0008	-0.014584615384615385	0.0003	-0.015084615384615386	0.0008	-0.014584615384615385	0.0002	-0.015184615384615385	0.0005	-0.014884615384615385	0.0	-0.015384615384615385
38	0.7000000000000001	0.07	0.015384615384615385	1.2835366034080669	0.09375	6.0	0.4984	0.4830153846153846	0.2245	0.20911538461538462	0.0935	0.07811538461538461	0.0306	0.015215384615384613	0.0064	-0.008984615384615386	0.0011	-0.014284615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385
39	0.5	0.05	0.015384615384615385	1.3043231310389458	0.09375	6.0	0.5057	0.49031538461538465	0.2366	0.22121538461538462	0.0859	0.07051538461538462	0.0332	0.017815384615384615	0.0068	-0.008584615384615385	0.0006	-0.014784615384615386	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385
40	0.3	0.03	0.015384615384615385	1.2750514251392318	0.09375	6.0	0.4999	0.4845153846153846	0.2224	0.2070153846153846	0.0865	0.07111538461538461	0.0276	0.012215384615384614	0.0067	-0.008684615384615384	0.0012	-0.014184615384615386	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385
41	0.1	0.01	0.015384615384615385	1.2651623543907184	0.09375	6.0	0.4941	0.4787153846153846	0.2215	0.20611538461538462	0.0834	0.06801538461538462	0.0318	0.016415384615384616	0.0071	-0.008284615384615385	0.0009	-0.014484615384615386	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385	0.0	-0.015384615384615385
