temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12	q_13	G_13	q_14	G_14
10	3.888	0.324	0.3332926432291667	nan	0.007019728422164917	0.031390219926834106	0.3753	0.04200735677083334	0.3491	0.015807356770833336	0.3419	0.008607356770833297	0.3327	-0.0005926432291666894	0.3222	-0.011092643229166699	0.3342	0.0009073567708333119	0.3321	-0.0011926432291666789	0.3365	0.003207356770833336	0.3316	-0.0016926432291666793	0.3328	-0.0004926432291667004	0.3305	-0.002792643229166669	0.3345	0.0012073567708333344	0.3244	-0.008892643229166663	0.331	-0.0022926432291666687
11	3.8040000000000003	0.317	0.3332926432291667	nan	0.013913512229919434	0.04943540692329407	0.3955	0.06220735677083333	0.3498	0.016507356770833315	0.3433	0.010007356770833309	0.3348	0.0015073567708333013	0.3343	0.0010073567708333009	0.3327	-0.0005926432291666894	0.3293	-0.0039926432291667036	0.3313	-0.0019926432291667018	0.3271	-0.006192643229166683	0.3417	0.008407356770833319	0.3272	-0.006092643229166694	0.3187	-0.014592643229166702	0.3264	-0.006892643229166662	0.3208	-0.012492643229166711
12	3.7199999999999998	0.31	0.3332926432291667	1.1904392809020738	0.026546403765678406	0.08926326036453247	0.4022	0.06890735677083332	0.3575	0.0242073567708333	0.3518	0.018507356770833316	0.3451	0.011807356770833333	0.3436	0.010307356770833331	0.3301	-0.0031926432291666806	0.3247	-0.008592643229166697	0.3265	-0.006792643229166673	0.3265	-0.006792643229166673	0.3241	-0.009192643229166686	0.3168	-0.01649264322916666	0.3136	-0.019692643229166695	0.3083	-0.024992643229166667	0.3102	-0.02309264322916671
13	3.636	0.303	0.3332926432291667	1.3847362342510927	0.037347957491874695	0.11901971697807312	0.4134	0.0801073567708333	0.3692	0.03590735677083329	0.3548	0.02150735677083332	0.3424	0.009107356770833297	0.3319	-0.0013926432291667123	0.3321	-0.0011926432291666789	0.3328	-0.0004926432291667004	0.3402	0.006907356770833317	0.3282	-0.005092643229166693	0.3189	-0.014392643229166668	0.3183	-0.014992643229166658	0.3166	-0.016692643229166693	0.3032	-0.03009264322916666	0.291	-0.042292643229166704
14	3.5519999999999996	0.296	0.3332926432291667	2.2496602162927406	0.05949197709560394	0.17974132299423218	0.4279	0.09460735677083332	0.3822	0.0489073567708333	0.3762	0.042907356770833294	0.3534	0.020107356770833307	0.3554	0.02210735677083331	0.3376	0.004307356770833326	0.33	-0.0032926432291666696	0.324	-0.009292643229166675	0.3113	-0.021992643229166664	0.3051	-0.028192643229166703	0.3025	-0.030792643229166694	0.3012	-0.03209264322916666	0.2905	-0.042792643229166705	0.2748	-0.058492643229166696
15	3.468	0.289	0.3332926432291667	2.6851934593115203	0.07606533169746399	0.2262943685054779	0.4379	0.10460735677083333	0.3945	0.06120735677083333	0.371	0.03770735677083331	0.3764	0.04310735677083333	0.3598	0.026507356770833324	0.3469	0.013607356770833301	0.3404	0.007107356770833295	0.3253	-0.007992643229166707	0.3031	-0.030192643229166705	0.3065	-0.02679264322916669	0.2873	-0.045992643229166685	0.2856	-0.047692643229166665	0.2632	-0.0700926432291667	0.2632	-0.0700926432291667
16	3.3839999999999995	0.282	0.3332926432291667	2.776473172079037	0.10757748782634735	0.3186641037464142	0.4523	0.1190073567708333	0.4173	0.08400735677083332	0.396	0.06270735677083333	0.374	0.040707356770833314	0.3573	0.02400735677083332	0.3444	0.011107356770833299	0.3309	-0.0023926432291666577	0.3182	-0.015092643229166702	0.3158	-0.01749264322916666	0.2808	-0.05249264322916669	0.2814	-0.0518926432291667	0.2596	-0.07369264322916669	0.2381	-0.09519264322916668	0.2377	-0.09559264322916669
17	3.3000000000000003	0.275	0.3332926432291667	3.050738723589856	0.12473416328430176	0.36987927556037903	0.4754	0.1421073567708333	0.4228	0.08950735677083332	0.4016	0.06830735677083333	0.3906	0.05730735677083332	0.3666	0.033307356770833296	0.3663	0.03300735677083333	0.3332	-9.264322916668899e-05	0.3273	-0.005992643229166705	0.2995	-0.0337926432291667	0.2748	-0.058492643229166696	0.2638	-0.0694926432291667	0.2394	-0.09389264322916668	0.2224	-0.1108926432291667	0.206	-0.1272926432291667
18	3.216	0.268	0.3332926432291667	2.87286200561924	0.13947953283786774	0.41301724314689636	0.4785	0.1452073567708333	0.4282	0.09490735677083334	0.4179	0.08460735677083331	0.3882	0.054907356770833304	0.3647	0.03140735677083334	0.3513	0.018007356770833316	0.3402	0.006907356770833317	0.3141	-0.019192643229166695	0.2923	-0.04099264322916668	0.2723	-0.0609926432291667	0.2573	-0.07599264322916671	0.2318	-0.10149264322916668	0.2091	-0.12419264322916668	0.2025	-0.13079264322916667
19	3.132	0.261	0.3332926432291667	2.7909709619787355	0.1593514382839203	0.4767991006374359	0.506	0.17270735677083332	0.4558	0.1225073567708333	0.4219	0.08860735677083331	0.3999	0.06660735677083329	0.3692	0.03590735677083329	0.3561	0.022807356770833342	0.3351	0.0018073567708333238	0.3078	-0.025492643229166667	0.2922	-0.04109264322916667	0.2758	-0.057492643229166696	0.2409	-0.09239264322916668	0.2279	-0.1053926432291667	0.2027	-0.1305926432291667	0.1836	-0.14969264322916667
20	3.048	0.254	0.3332926432291667	3.023758684718481	0.1882774978876114	0.5716488659381866	0.534	0.20070735677083335	0.4782	0.14490735677083333	0.4473	0.11400735677083329	0.411	0.07770735677083329	0.383	0.04970735677083332	0.3651	0.031807356770833295	0.3328	-0.0004926432291667004	0.3069	-0.02639264322916668	0.2783	-0.05499264322916669	0.261	-0.07229264322916668	0.2261	-0.10719264322916669	0.2048	-0.12849264322916668	0.1807	-0.15259264322916669	0.1581	-0.1751926432291667
21	2.964	0.247	0.3332926432291667	3.0127761213918456	0.20878641307353973	0.6508170962333679	0.5578	0.22450735677083328	0.4958	0.16250735677083333	0.4554	0.12210735677083334	0.4329	0.09960735677083332	0.384	0.05070735677083332	0.3642	0.03090735677083334	0.3306	-0.00269264322916668	0.2981	-0.03519264322916671	0.2772	-0.05609264322916668	0.256	-0.07729264322916668	0.2229	-0.1103926432291667	0.1874	-0.14589264322916667	0.1636	-0.1696926432291667	0.1464	-0.18689264322916668
22	2.88	0.24	0.3332926432291667	3.2094109027010544	0.23271386325359344	0.7443791925907135	0.5709	0.23760735677083328	0.5117	0.17840735677083336	0.475	0.1417073567708333	0.4359	0.10260735677083332	0.4103	0.07700735677083331	0.3568	0.02350735677083332	0.3326	-0.0006926432291666784	0.2856	-0.047692643229166665	0.2674	-0.06589264322916666	0.2374	-0.09589264322916669	0.207	-0.1262926432291667	0.1784	-0.15489264322916668	0.1504	-0.18289264322916668	0.1252	-0.20809264322916668
23	2.7960000000000003	0.233	0.3332926432291667	3.3121416934635777	0.2563796937465668	0.8345518708229065	0.5817	0.2484073567708333	0.5308	0.19750735677083336	0.4857	0.15240735677083334	0.4513	0.1180073567708333	0.4029	0.0696073567708333	0.3675	0.03420735677083331	0.332	-0.0012926432291666679	0.2989	-0.034392643229166686	0.2539	-0.07939264322916667	0.2293	-0.10399264322916668	0.1957	-0.13759264322916667	0.1706	-0.16269264322916668	0.1303	-0.20299264322916669	0.1089	-0.2243926432291667
