temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10
30	1.472	0.184	0.3326822916666667	2.1747574930285163	0.3497200012207031	1.2630538940429688	0.6624	0.3297177083333333	0.5586	0.2259177083333333	0.4707	0.13801770833333332	0.4015	0.06881770833333334	0.3262	-0.006482291666666695	0.2567	-0.0759822916666667	0.2013	-0.13138229166666668	0.1387	-0.1939822916666667	0.0913	-0.2413822916666667	0.0402	-0.29248229166666667
31	1.416	0.177	0.3326822916666667	2.0923390919530243	0.3626289367675781	1.3573226928710938	0.6815	0.3488177083333333	0.5646	0.2319177083333333	0.4771	0.14441770833333334	0.3983	0.0656177083333333	0.3261	-0.006582291666666684	0.254	-0.07868229166666668	0.196	-0.13668229166666668	0.1352	-0.1974822916666667	0.0828	-0.2498822916666667	0.0336	-0.29908229166666667
32	1.36	0.17	0.3326822916666667	2.1282104146401326	0.3834724426269531	1.5003738403320312	0.7031	0.37041770833333326	0.5796	0.24691770833333332	0.4874	0.15471770833333331	0.4064	0.0737177083333333	0.3171	-0.015582291666666692	0.2456	-0.08708229166666667	0.1894	-0.14328229166666667	0.1271	-0.2055822916666667	0.0755	-0.2571822916666667	0.029	-0.30368229166666666
33	1.304	0.163	0.3326822916666667	2.026361565275677	0.4012565612792969	1.637237548828125	0.729	0.3963177083333333	0.6085	0.27581770833333336	0.4889	0.15621770833333332	0.3968	0.0641177083333333	0.3204	-0.012282291666666667	0.2493	-0.08338229166666669	0.1831	-0.14958229166666667	0.124	-0.20868229166666669	0.0688	-0.26388229166666666	0.0221	-0.3105822916666667
34	1.248	0.156	0.3326822916666667	2.083309747389529	0.4109535217285156	1.6594009399414062	0.7347	0.40201770833333333	0.6098	0.2771177083333333	0.4992	0.1665177083333333	0.4018	0.0691177083333333	0.3217	-0.0109822916666667	0.2475	-0.08518229166666669	0.1801	-0.15258229166666668	0.1144	-0.21828229166666668	0.0608	-0.27188229166666666	0.0079	-0.32478229166666667
35	1.192	0.149	0.3326822916666667	2.096314247512461	0.4146614074707031	1.6793441772460938	0.7374	0.40471770833333337	0.6127	0.28001770833333334	0.5	0.16731770833333331	0.4044	0.0717177083333333	0.3231	-0.009582291666666687	0.242	-0.09068229166666669	0.1721	-0.16058229166666668	0.118	-0.2146822916666667	0.0598	-0.27288229166666667	0.0098	-0.3228822916666667
36	1.136	0.142	0.3326822916666667	2.150859363271352	0.41485595703125	1.7132568359375	0.7441	0.4114177083333333	0.6121	0.2794177083333333	0.5125	0.17981770833333327	0.4085	0.07581770833333329	0.318	-0.01468229166666668	0.2426	-0.09008229166666668	0.1815	-0.1511822916666667	0.1124	-0.22028229166666669	0.0649	-0.26778229166666667	0.0163	-0.3163822916666667
37	1.08	0.135	0.3326822916666667	2.022605657023299	0.427337646484375	1.7894058227539062	0.7649	0.43221770833333334	0.6245	0.29181770833333337	0.5076	0.17491770833333337	0.4021	0.06941770833333333	0.3179	-0.01478229166666667	0.2368	-0.09588229166666667	0.1749	-0.15778229166666669	0.1103	-0.22238229166666668	0.0559	-0.2767822916666667	0.0107	-0.3219822916666667
38	1.024	0.128	0.3326822916666667	1.9583888822562054	0.4312286376953125	1.83148193359375	0.7736	0.44091770833333327	0.6218	0.28911770833333333	0.5069	0.17421770833333333	0.3988	0.0661177083333333	0.3239	-0.008782291666666664	0.237	-0.0956822916666667	0.1669	-0.1657822916666667	0.1088	-0.22388229166666668	0.055	-0.2776822916666667	0.0059	-0.32678229166666667
39	0.968	0.121	0.3326822916666667	1.9888600757652795	0.43889617919921875	1.8925628662109375	0.7861	0.45341770833333334	0.6333	0.3006177083333333	0.5173	0.1846177083333333	0.4001	0.06741770833333333	0.3184	-0.014282291666666669	0.2381	-0.09458229166666668	0.1676	-0.1650822916666667	0.1033	-0.22938229166666668	0.0486	-0.2840822916666667	0.0	-0.3326822916666667
40	0.912	0.114	0.3326822916666667	1.9492774124082395	0.4380836486816406	1.901824951171875	0.7859	0.45321770833333336	0.6286	0.29591770833333336	0.5101	0.1774177083333333	0.401	0.06831770833333334	0.3269	-0.005782291666666661	0.2411	-0.09158229166666668	0.1736	-0.15908229166666668	0.1148	-0.21788229166666667	0.0532	-0.2794822916666667	0.0046	-0.3280822916666667
41	0.856	0.107	0.3326822916666667	2.0387548781999336	0.4414939880371094	1.94482421875	0.7895	0.4568177083333333	0.6414	0.3087177083333333	0.5146	0.18191770833333326	0.4122	0.07951770833333333	0.3175	-0.01518229166666668	0.2367	-0.09598229166666669	0.1604	-0.1722822916666667	0.1029	-0.2297822916666667	0.0493	-0.2833822916666667	0.0	-0.3326822916666667
42	0.8	0.1	0.3326822916666667	1.9547877420922395	0.44207000732421875	1.9371490478515625	0.7947	0.4620177083333333	0.6374	0.3047177083333333	0.5133	0.1806177083333333	0.4021	0.06941770833333333	0.3143	-0.01838229166666666	0.2371	-0.09558229166666668	0.1722	-0.1604822916666667	0.1106	-0.22208229166666668	0.0541	-0.2785822916666667	0.0	-0.3326822916666667
43	0.6	0.075	0.3326822916666667	2.0676416907683284	0.4434547424316406	1.964447021484375	0.7915	0.4588177083333333	0.6454	0.3127177083333333	0.5188	0.18611770833333335	0.4139	0.0812177083333333	0.3253	-0.007382291666666707	0.2404	-0.09228229166666668	0.168	-0.16468229166666667	0.109	-0.2236822916666667	0.0531	-0.2795822916666667	0.0	-0.3326822916666667
44	0.4	0.05	0.3326822916666667	2.0209152780229616	0.4442253112792969	1.99444580078125	0.8007	0.4680177083333333	0.6424	0.3097177083333333	0.5135	0.18081770833333327	0.4192	0.08651770833333333	0.3197	-0.012982291666666701	0.2397	-0.09298229166666669	0.1702	-0.1624822916666667	0.1037	-0.22898229166666667	0.053	-0.2796822916666667	0.0	-0.3326822916666667
