temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8
32	1.02	0.17	0.3307291666666667	1.6328553258367327	0.3927001953125	1.6439208984375	0.6773	0.34657083333333333	0.5358	0.20507083333333337	0.4199	0.08917083333333331	0.3114	-0.019329166666666675	0.2293	-0.10142916666666668	0.1559	-0.17482916666666667	0.0846	-0.24612916666666668	0.0251	-0.3056291666666667
33	0.978	0.163	0.3307291666666667	1.6284665640032128	0.41876220703125	1.72802734375	0.6985	0.3677708333333333	0.55	0.21927083333333336	0.4235	0.0927708333333333	0.3106	-0.020129166666666698	0.2267	-0.10402916666666667	0.1338	-0.19692916666666668	0.0653	-0.2654291666666667	0.0	-0.3307291666666667
34	0.9359999999999999	0.156	0.3307291666666667	1.5769394694772607	0.4139404296875	1.68798828125	0.7091	0.37837083333333327	0.5478	0.21707083333333327	0.4247	0.09397083333333334	0.3163	-0.01442916666666666	0.2291	-0.10162916666666669	0.1412	-0.1895291666666667	0.0752	-0.2555291666666667	0.0074	-0.32332916666666667
35	0.8939999999999999	0.149	0.3307291666666667	1.5891724764625201	0.40362548828125	1.70849609375	0.6872	0.35647083333333335	0.5423	0.21157083333333332	0.4157	0.08497083333333333	0.3167	-0.014029166666666704	0.2292	-0.1015291666666667	0.1478	-0.1829291666666667	0.0808	-0.2499291666666667	0.0169	-0.3138291666666667
36	0.8519999999999999	0.142	0.3307291666666667	1.5326073545252545	0.41522216796875	1.7061767578125	0.6981	0.36737083333333337	0.541	0.21027083333333335	0.4155	0.0847708333333333	0.3117	-0.019029166666666708	0.2209	-0.10982916666666667	0.1408	-0.18992916666666668	0.0683	-0.2624291666666667	0.0085	-0.3222291666666667
37	0.81	0.135	0.3307291666666667	1.5419570910440161	0.43048095703125	1.834716796875	0.7246	0.39387083333333334	0.5595	0.2287708333333333	0.4206	0.08987083333333329	0.3094	-0.021329166666666677	0.2195	-0.11122916666666668	0.1316	-0.1991291666666667	0.0606	-0.2701291666666667	0.0	-0.3307291666666667
38	0.768	0.128	0.3307291666666667	1.5441332215428933	0.4200439453125	1.7869873046875	0.7096	0.3788708333333333	0.5498	0.21907083333333327	0.4183	0.08757083333333332	0.3282	-0.0025291666666666934	0.2256	-0.10512916666666669	0.1407	-0.1900291666666667	0.0709	-0.25982916666666667	0.0079	-0.32282916666666667
39	0.726	0.121	0.3307291666666667	1.5471554841937212	0.43756103515625	1.904296875	0.7294	0.39867083333333336	0.5633	0.23257083333333334	0.4218	0.09107083333333332	0.3206	-0.010129166666666689	0.2188	-0.11192916666666669	0.1335	-0.19722916666666668	0.0647	-0.2660291666666667	0.0	-0.3307291666666667
40	0.684	0.114	0.3307291666666667	1.6556796821307957	0.4425048828125	1.9423828125	0.7379	0.4071708333333333	0.5733	0.24257083333333335	0.4379	0.10717083333333333	0.3141	-0.016629166666666695	0.2134	-0.11732916666666668	0.1385	-0.19222916666666667	0.0621	-0.2686291666666667	0.0	-0.3307291666666667
41	0.642	0.107	0.3307291666666667	1.5549580050806082	0.44268798828125	1.923828125	0.7417	0.41097083333333334	0.5733	0.24257083333333335	0.4238	0.09307083333333332	0.3098	-0.020929166666666665	0.2172	-0.11352916666666668	0.1372	-0.1935291666666667	0.0615	-0.2692291666666667	0.0	-0.3307291666666667
42	0.6000000000000001	0.10000000000000002	0.3307291666666667	1.6004808026094846	0.4403076171875	1.946044921875	0.7366	0.40587083333333335	0.5725	0.24177083333333332	0.4287	0.09797083333333334	0.3117	-0.019029166666666708	0.205	-0.1257291666666667	0.1334	-0.1973291666666667	0.0638	-0.26692916666666666	0.0	-0.3307291666666667
43	0.44999999999999996	0.075	0.3307291666666667	1.603207386423627	0.443603515625	1.974609375	0.7467	0.41597083333333335	0.5697	0.2389708333333333	0.4382	0.1074708333333333	0.3115	-0.019229166666666686	0.2156	-0.11512916666666667	0.1369	-0.1938291666666667	0.0645	-0.2662291666666667	0.0	-0.3307291666666667
44	0.30000000000000004	0.05000000000000001	0.3307291666666667	1.571968208137201	0.44439697265625	1.984375	0.7511	0.4203708333333333	0.5733	0.24257083333333335	0.4332	0.10247083333333329	0.3152	-0.015529166666666705	0.2214	-0.10932916666666667	0.1348	-0.19592916666666668	0.065	-0.2657291666666667	0.0	-0.3307291666666667
